,arrival_date,district,modal_price/Quintol,Sold_Amount,esti.yield
,Jan,Yavatmal,3530.753968,10562,1072
,Jan,Wardha,3485.069565,14262,826
,Jan,Vashim,3598.535354,39718,1163
,Jan,Nashik,3633.792453,1016,961
,Jan,Latur,3618.863636,46647,869
,Jan,Hingoli,3562.44086,4733,1122
,Jan,Buldhana,3552.031847,23911,1156
,Jan,Beed,3599.133333,5475,708
,Jan,Amarawati,3462.10989,18212,1098
,Jan,Akola,3523.483333,12608,1093
,Feb,Yavatmal,3578.277778,6589,1072
,Feb,Wardha,3453.625,9891,826
,Feb,Vashim,3590.125,18180,1163
,Feb,Nashik,3505.595041,705,961
,Feb,Latur,3572.941176,30769,869
,Feb,Hingoli,3488.98,2493,1122
,Feb,Buldhana,3562.6,12799,1156
,Feb,Beed,3475.550562,2608,708
,Feb,Amarawati,3519.2,12660,1098
,Feb,Akola,3605.459459,5000,1093
,Mar,Yavatmal,3419.063492,1617,1072
,Mar,Wardha,3491.827586,7137,826
,Mar,Vashim,3449.347368,13068,1163
,Mar,Nashik,3544.11236,399,961
,Mar,Latur,3535.333333,23938,869
,Mar,Hingoli,3604.13253,1466,1122
,Mar,Buldhana,3529.25,12465,1156
,Mar,Beed,3464.086957,2114,708
,Mar,Amarawati,3523.753846,6874,1098
,Mar,Akola,3492.86,4105,1093
,Apr,Yavatmal,3525.25,3014,1072
,Apr,Wardha,3620.333333,6897,826
,Apr,Vashim,3447.295455,12566,1163
,Apr,Nashik,3600.016393,760,961
,Apr,Latur,3469.136842,30468,869
,Apr,Hingoli,3562.283019,2022,1122
,Apr,Buldhana,3559.76,10244,1156
,Apr,Beed,3575.09589,2736,708
,Apr,Amarawati,3487.876712,7354,1098
,Apr,Akola,3535.316667,3594,1093
,May,Yavatmal,3551.222222,2474,1072
,May,Wardha,3514.917808,5740,826
,May,Vashim,3578.765432,12159,1163
,May,Nashik,3578.469388,794,961
,May,Latur,3678,20709,869
,May,Hingoli,3575.278689,1660,1122
,May,Buldhana,3517.211382,13133,1156
,May,Beed,3594.806452,2531,708
,May,Amarawati,3479.381818,5716,1098
,May,Akola,3569.571429,3381,1093
,Jun,Yavatmal,3524.597701,938,1072
,Jun,Wardha,3467.485915,4442,826
,Jun,Vashim,3519.439394,12256,1163
,Jun,Nashik,3611.862745,1058,961
,Jun,Latur,3507.793103,23162,869
,Jun,Hingoli,3552.086538,1511,1122
,Jun,Buldhana,3456.448276,11896,1156
,Jun,Beed,3431.343284,2168,708
,Jun,Amarawati,3503.046154,5963,1098
,Jun,Akola,3503.2,4357,1093
,Jul,Yavatmal,3498.169811,532,1072
,Jul,Wardha,3436.459016,2804,826
,Jul,Vashim,3399.441176,7872,1163
,Jul,Nashik,3516.868421,660,961
,Jul,Latur,3458.358974,8921,869
,Jul,Hingoli,3472.857143,894,1122
,Jul,Buldhana,3594.848485,11046,1156
,Jul,Beed,3515.619048,790,708
,Jul,Amarawati,3513.592233,2938,1098
,Jul,Akola,3513.672414,3113,1093
,Aug,Yavatmal,3479.193548,2064,1072
,Aug,Wardha,3446.074074,3327,826
,Aug,Vashim,3511.416667,7115,1163
,Aug,Nashik,3580.777778,497,961
,Aug,Latur,3514.954545,11541,869
,Aug,Hingoli,3534.485714,505,1122
,Aug,Buldhana,3439.878788,7590,1156
,Aug,Beed,3444.761905,602,708
,Aug,Amarawati,3396.483871,4565,1098
,Aug,Akola,3547.064516,2528,1093
,Sep,Yavatmal,3475.52381,1741,1072
,Sep,Wardha,3396.75,1702,826
,Sep,Vashim,3586.545455,8673,1163
,Sep,Nashik,3513.25,177,961
,Sep,Latur,3603.6,19540,869
,Sep,Hingoli,3520.0625,635,1122
,Sep,Buldhana,3540.678571,4790,1156
,Sep,Beed,3442.708333,935,708
,Sep,Amarawati,3457.723404,4450,1098
,Sep,Akola,3497.772727,2378,1093
,Oct,Yavatmal,3479.166667,6969,1072
,Oct,Wardha,3468.55,9829,826
,Oct,Vashim,3463.964286,23242,1163
,Oct,Nashik,3545.681818,1171,961
,Oct,Latur,3542,21897,869
,Oct,Hingoli,3583.037037,6211,1122
,Oct,Buldhana,3430.857143,16960,1156
,Oct,Beed,3511.85,3554,708
,Oct,Amarawati,3383.117647,18642,1098
,Oct,Akola,3448.928571,8810,1093
,Nov,Yavatmal,3464.363636,15813,1072
,Nov,Wardha,3424.655172,39617,826
,Nov,Vashim,3534.137931,59595,1163
,Nov,Nashik,3483.772727,4112,961
,Nov,Latur,3586.8125,93688,869
,Nov,Hingoli,3528.090909,16026,1122
,Nov,Buldhana,3467.08,53922,1156
,Nov,Beed,3522.607143,7946,708
,Nov,Amarawati,3386.961538,42861,1098
,Nov,Akola,3459.529412,22155,1093
,Dec,Yavatmal,3484.136364,0,1072
,Dec,Wardha,3452.214286,0,826
,Dec,Vashim,3532.380952,0,1163
,Dec,Nashik,3537.714286,0,961
,Dec,Latur,3545.619048,0,869
,Dec,Hingoli,3547.684211,0,1122
,Dec,Buldhana,3440.777778,0,1156
,Dec,Beed,3435.9375,0,708
,Dec,Amarawati,3553.478261,0,1098
,Dec,Akola,3397.615385,0,1093
